Feature,Importance
cat__Track_Lime Rock Park,2.7454175175290142e-05
cat__Team_Leo Jackson Motorsports,2.74190779730414e-05
cat__Driver_Jimmy Thompson,2.7414911653428908e-05
cat__Team_Reiser Racing,2.740593887234589e-05
cat__Team_Lewis Motorsports,2.733794788589554e-05
cat__Track_Circuit Gilles Villeneuve,2.729192743526538e-05
cat__Driver_Frank Mundy,2.7246746435463904e-05
cat__Team_A.J. Foyt Racing,2.7181559459328212e-05
cat__Team_Travis Carter Motorsports,2.702848571332814e-05
cat__Driver_Chuck Bown,2.701453089655074e-05
cat__Team_Haas Factory Team,2.6927788909643587e-05
cat__Driver_David Pearson,2.6773374451943217e-05
cat__Team_Langley-Woodfield Racing,2.6737707994024496e-05
cat__Team_HScott Motorsports,2.6724762039012692e-05
cat__Driver_Jim Reed,2.6684342002378675e-05
cat__Team_Labonte Motorsports,2.6586485498163626e-05
cat__Driver_Tim Sauter,2.6329967451174488e-05
cat__Driver_Brandon Brown,2.6168975845421323e-05
cat__Team_DiGard  Motorsports,2.6162162939696225e-05
cat__Make_Studebaker,2.6115261735207048e-05
cat__Team_HT Motorsports,2.610191467777536e-05
cat__Team_Robbins Racing,2.6038225681755477e-05
cat__Team_Smokey Yunick Racing,2.592194783693215e-05
cat__Driver_Cecil Gordon,2.5836658436067724e-05
cat__Team_Carroll Racing,2.5712325659692227e-05
cat__Track_Chicago Motor Speedway,2.5701473134690694e-05
cat__Team_Yates Racing,2.5649104614279026e-05
cat__Driver_Ty Majeski,2.5614178914247535e-05
cat__Driver_Rajah Caruth,2.5572884213093384e-05
cat__Team_Viking Motorsports,2.5467345915698482e-05
cat__Driver_Junior Johnson,2.545634402271061e-05
cat__Team_Elliott-Hardy Racing,2.5352692586021107e-05
cat__Team_Halmar Friesen Racing,2.5206444876533387e-05
cat__Team_Phil Oates (Owner),2.4955515085792887e-05
cat__Driver_Tommy Houston,2.4873979243808468e-05
